Location,Year,Population,,,,,,
kurunegala proper,2019,"1,719",,,,,,
kurunegala proper,2020,"1,726",,,,,,
kurunegala proper,2021,"1,743",,,,,,
kurunegala proper,2022,"1,742",,,,,,
kurunegala proper,2023,"1,727",,,,,,
"bibile, monaragala",2019,496,,,,,,
"bibile, monaragala",2020,501,,,,,,
"bibile, monaragala",2021,505,,,,,,
"bibile, monaragala",2022,509,,,,,,
"bibile, monaragala",2023,509,,,,,,
jaffna proper,2019,617,,,,,,
jaffna proper,2020,621,,,,,,
jaffna proper,2021,626,,,,,,
jaffna proper,2022,629,,,,,,
jaffna proper,2023,628,,,,,,
"deniyaya, matara",2019,863,,,,,,
"deniyaya, matara",2020,866,,,,,,
"deniyaya, matara",2021,873,,,,,,
"deniyaya, matara",2022,874,,,,,,
"deniyaya, matara",2023,869,,,,,,
colombo proper,2019,"2,448",,,,,,
colombo proper,2020,"2,455",,,,,,
colombo proper,2021,"2,480",,,,,,
colombo proper,2022,"2,478",,,,,,
colombo proper,2023,"2,460",,,,,,
nuwara eliya proper,2019,768,,,,,,
nuwara eliya proper,2020,773,,,,,,
nuwara eliya proper,2021,780,,,,,,
nuwara eliya proper,2022,783,,,,,,
nuwara eliya proper,2023,781,,,,,,
kandy proper,2019,"1,476",,,,,,
kandy proper,2020,"1,483",,,,,,
kandy proper,2021,"1,501",,,,,,
kandy proper,2022,"1,499",,,,,,
kandy proper,2023,"1,482",,,,,,
